ID,Word,Valence_mean,Valence_SD,Arousal_mean,Arousal_SD,Dominance_mean,Dominance_SD,Valence_mean_male,Valence_mean_female
7314,macho,4.84,2.29,3.96,2.12,4.94,2.21,5.22,4.5
7315,mackerel,4.78,1.57,3.45,2.04,5.63,2.81,4.88,4.73
7316,macro,5.2,1.28,3.85,2.25,5.45,1.37,5.43,5.08
7317,mad,2.47,1.26,5.59,2.55,4.9,2.33,3,2.38
7318,madam,5.17,1.89,3.05,2.09,4.67,2.09,4.75,5.5
7319,madden,4.75,2.38,5.17,2.71,5.33,2.04,6,3.92
7320,mademoiselle,6.35,1.53,4.5,2.02,5.68,1.8,6.22,6.45
7321,madhouse,3.11,1.64,5.77,2.52,3.21,1.96,3.17,3.08
7322,madman,3.45,2.2,6.09,2.53,3.76,2.15,3.57,3.39
7323,madness,2.86,1.71,6.25,2.22,4.18,2.91,3.17,2.73
7324,maestro,6.14,1.71,3.7,2.3,6.24,2.02,5.91,6.4
7325,mafia,3.11,1.15,7.05,1.77,3.65,2.52,3.8,2.85
7326,magazine,6.24,1.87,4.2,2.57,7.05,2.09,6.08,6.5
7327,magenta,5.95,2.13,4.58,2.46,5.43,1.91,5,6.19
7328,maggot,2,1.59,5.6,2.38,3.55,1.93,2.29,1.83
7329,magic,7.17,1.89,6.05,2.64,5.33,2.47,7.38,7
7330,magical,8.23,0.97,5.88,2.47,5.3,2.2,8.4,8.12
7331,magician,5.68,2.21,4.73,2.73,4.26,2.33,5,6
7332,magistrate,4.71,1.82,3.68,1.94,4.7,2.66,5.2,4.27
7333,magna,5.09,1.44,4.63,2.03,4.9,2.26,4.6,5.25
7334,magnesium,4.95,1.87,2.86,1.86,4.87,1.82,5.45,4.29
7335,magnet,5.65,1.31,3.38,1.95,4.89,2.27,6,5.36
7336,magnetic,6.17,1.47,3.55,2.56,4.84,2.15,6.2,6.15
7337,magnetism,6,1.37,4.56,2.48,5.12,2.5,5.91,6.12
7338,magnification,6.65,1.42,4.38,2.44,5.38,2.14,7.25,6.5
7339,magnificence,7.47,1.31,3.95,3.02,6.93,1.94,7.17,7.62
7340,magnificent,6.95,1.51,4.52,2.39,6.05,2.34,6.44,7.4
7341,magnify,4.86,1.67,4.41,2.44,6.3,2,5.5,4.5
7342,magnifying,6.11,1.71,3.58,2.04,5.56,1.23,6.4,6
7343,magnitude,5.1,1.21,5.11,2.47,5.09,2.37,5.4,5
7344,magnolia,6.8,1.44,4.19,2.34,5.32,2.54,6.5,7.1
7345,magpie,5.5,1.36,3.08,2.04,4.3,1.75,5.12,5.75
7346,mahi mahi,5.52,2.18,5.16,2.36,5.86,2.43,6.33,5.2
7347,mahjong,5.55,1.5,3.61,2.21,5.64,1.79,5.5,5.6
7348,mahogany,6.48,1.72,2.67,1.8,5.63,2.08,6.5,6.45
7349,maid,5.38,1.72,3.19,1.91,6.2,2.02,5.42,5.33
7350,maiden,5.65,1.04,4.05,2.29,5.68,2.01,4.67,5.82
7351,mail,6.28,1.6,3.81,2.09,5.26,2.24,5.94,6.5
7352,mailbox,6.05,1.57,2.29,1.27,5.03,2.66,6.1,6
7353,mailing,5.33,1.83,3.14,1.74,5.88,2.44,5.25,5.44
7354,mailman,5.32,1.73,3.32,2.21,4.82,1.87,5.67,5
7355,maim,3.14,2.22,4.56,2.74,4,2.43,4.33,2.25
7356,main,5.27,1.16,4.1,2.4,6.79,2.25,5.54,4.89
7357,mainframe,5,2,3.95,2.34,5.59,1.89,5.78,4.3
7358,mainland,5.3,1.72,3.67,2.28,5.71,1.88,5.8,5.13
7359,mainstream,4.55,1.39,3.38,2.04,5.48,1.9,4.33,4.59
7360,maintain,6.29,1.19,2.75,2.21,5.89,2.31,6.12,6.38
7361,maintenance,5.95,1.76,2.81,1.91,5.28,2.69,6.5,5.81
7362,majestic,7.14,1.9,4.16,2.49,6.63,2.06,6.11,7.92
7363,majesty,6.86,2.31,4.7,2.79,7.21,2.12,5.92,8.38
7364,major,5.52,1.36,4.24,2.72,5.28,1.67,4.83,5.86
7365,majority,4.95,1.07,4.3,2.36,4.76,2.59,4.8,5
7366,make,6.09,1.6,3.67,2.33,6.22,2.32,6.5,5.8
7367,makeover,5.76,1.73,5.13,2.58,5.5,1.62,4.43,6.62
7368,maker,5.74,1.79,4.16,2.39,6.15,2.87,5,6
7369,makeshift,5.32,1.29,4.79,2.1,5.1,2.28,4.8,5.38
7370,makeup,5.21,1.4,4.1,1.68,6.46,2.4,4.67,5.31
7371,malady,3.86,2.2,4.48,2.76,4.37,2.99,5.44,2.67
7372,malaria,2.34,1.39,5.07,2.63,3.32,1.53,3.23,1.93
7373,malarkey,4.45,2.09,4.33,2.65,4.33,1.88,4.75,4.38
7374,male,6.91,1.9,4.5,2.48,5.89,2.79,6.38,7.67
7375,malfunction,2.68,1.49,4.62,2.4,2.92,2.08,3.33,2.38
7376,malice,2.81,1.56,4.81,2.52,4.56,2.31,2.82,2.81
7377,malicious,2.32,1.42,4.95,1.66,4.78,2.94,3.33,2.12
7378,malignant,3.1,1.67,4.42,2.98,4.2,2.55,3.62,2.77
7379,mall,4.45,2.26,5.3,2.68,6,1.74,3.73,5.33
7380,mallet,4.7,1.63,3.95,2.44,6.24,1.73,5.22,4.27
7381,malnutrition,2.48,1.25,3.5,2.54,5.3,2.52,2.88,2.23
7382,malpractice,2.74,1.24,5.26,2.05,4.3,2.72,2.33,2.73
7383,malt,6.14,2.2,3.75,2.07,5.91,1.93,7.25,5.46
7384,mama,7.64,1.62,4.29,2.8,5.28,1.96,7.33,7.8
7385,mambo,5.52,1.97,5.05,2.18,5.1,1.58,5.44,5.58
7386,mammal,5.95,1.91,3.81,2.54,6,1.75,5.86,6.12
7387,mammoth,5.84,1.68,4.09,1.85,5.23,2.05,6.33,5.4
7388,mammy,5.1,2.07,3.82,2.5,4.7,2.78,5.71,4.77
7389,man,5.42,1.22,4.36,2.49,5.44,2.24,5.33,5.44
7390,manage,4.71,1.23,3.52,1.83,5.88,2.36,4.64,4.8
7391,manageable,5.33,2.06,3.05,1.93,6.86,2.06,5.33,5.33
7392,management,4.95,1.9,3.24,1.89,4.7,3.32,5,4.94
7393,manager,4.82,1.74,4.15,2.3,7.16,2.09,5.15,4.33
7394,managerial,4.5,1.47,2.81,1.75,5.38,2.5,5,4.41
7395,mandarin,6.15,1.35,3.91,2.49,5.56,2.45,6.43,6
7396,mandate,3.76,1.04,4.32,2.15,4,2.78,4.38,3.38
7397,mandatory,3.9,1.89,3.89,2.65,3.54,2.64,4.8,3.6
7398,mandible,4.32,1.25,3.05,1.77,4.9,1.97,3.67,4.44
7399,mandolin,5.7,1.92,3.14,2.17,6.25,2.34,6.12,5.47
7400,mane,5.32,1.53,4.17,2.35,5.58,1.98,5,5.6
7401,maneuver,4.63,0.83,4.33,1.59,5.88,2.25,4.8,4.44
7402,manger,5.5,1.82,3.05,1.96,6.1,2.31,5,5.6
7403,mangle,2.9,1.66,5,2.8,4.35,2.24,3.46,2.64
7404,mango,6.57,2.31,3.05,1.77,5.76,2.2,6.67,6.44
7405,mangy,4.3,1.84,4.86,2.44,4.53,2.22,4.62,4.13
7406,manhole,4.8,1.44,4.09,2.43,5.59,2.1,5.29,4.54
7407,manhood,6.5,1.64,5.27,2.16,5.91,1.8,7,6.17
7408,manhunt,3.61,2.21,6.33,1.85,4.09,2.71,3.75,3.45
7409,mania,3.62,1.91,4.74,2.53,3.83,2.55,4.22,3.17
7410,maniac,3.5,2.48,5.77,2.83,3.8,2.69,3.5,3.5
7411,maniacal,3.3,1.82,6,2.86,4.1,2.05,3.75,3.07
7412,manic,4.19,1.54,4.55,2.7,3.63,2.02,4.3,4.09
7413,manicure,6.15,1.79,4.23,2.29,5.56,2.06,6,6.2
7414,manicurist,5.57,1.94,4.17,2.39,5.19,2.14,5.8,5.5
7415,manifest,4.81,1.78,4.12,2.79,5.16,2.27,5.11,4.58
7416,manifestation,4.38,1.47,4.21,2.73,5.5,2.67,4.5,4.31
7417,manifesto,4.05,2.37,4.59,2.28,5.12,2.01,3.5,4.31
7418,manifold,4.8,1.74,3.22,1.86,4.91,1.34,6.2,4.33
7419,manipulate,3.21,1.36,4.76,1.92,5.74,2.96,3,3.25
7420,manipulation,2.84,1.42,4.86,2.35,5.39,3.09,3.67,2.69
7421,manipulative,2.9,1.92,4.44,2.38,3.67,2.52,3.62,2.46
7422,mankind,6.59,1.92,4.89,1.59,5.14,2.22,5.4,7.06
7423,manly,6.09,1.8,5.63,2.41,6.48,2.5,6,6.19
7424,manned,5.14,1.13,4.47,1.87,5.71,2.92,5,5.19
7425,mannequin,5.35,1.66,3.9,2.38,6.38,1.98,5.09,5.67
7426,manner,5.86,1.44,3.52,2.14,5.45,2,6.15,5.72
7427,manor,5.9,0.94,3.68,2.29,5.05,1.99,5.67,6.08
7428,manpower,6,1.49,4.32,2.43,5.92,2.19,6.38,5.17
7429,mansion,6.62,1.88,4.84,2.69,6.5,2.5,6.62,6.62
7430,mansions,6.21,1.93,4.95,2.91,5.8,2.09,6,6.25
7431,manslaughter,2.05,1.39,5.67,3.04,3.88,2.53,2.3,1.8
7432,mantel,4.74,1.85,2.93,2.03,5.28,2.26,4.78,4.68
7433,mantis,4.95,1.61,3.25,2.47,5.88,2.17,5.23,4.33
7434,mantle,5.35,1.18,2.45,1.82,5.05,1.53,5.57,5.23
7435,mantra,5.47,1.39,3.48,2.27,5.87,1.84,5.2,5.54
7436,manual,4.95,1.64,3.17,1.72,6.48,1.6,4.89,5
7437,manufacture,5,1.91,4.41,2.42,5.45,1.68,5.67,4.4
7438,manufacturer,4,1.84,3.61,1.99,4.95,1.77,3.57,4.18
7439,manufacturing,5,1.9,4.5,2.23,5.67,2.1,5.44,4.69
7440,manure,3.19,1.84,4.15,2.24,4.51,2.32,3.35,3.1
7441,manuscript,6.05,1.39,3.29,2.33,5.32,1.97,5.25,6.25
7442,map,5.81,1.91,3.95,2.28,5.79,2.82,6,5.5
7443,maple,6.09,1.66,3.77,2.07,5.47,2.29,6,6.14
7444,mar,3.47,1.65,3.41,1.87,4.52,2.11,3.09,4.43
7445,marathon,5.48,1.72,5.04,2.69,4.9,2.77,4.4,5.81
7446,marble,5.8,1.64,3.57,1.73,5.38,2.11,5.8,5.8
7447,mare,5.62,1.53,3.64,2.53,5,2.21,5,6.08
7448,margarine,4.85,1.87,3.14,1.83,5.96,2.01,5.86,4.31
7449,margarita,6.33,2.46,5.2,2.98,6.19,2.62,6.67,6.2
7450,margin,4.75,1.25,3.71,1.93,5.15,2.64,4.5,5
7451,marginal,4.6,1.05,3.57,1.54,5.47,2.02,5.1,4.1
7452,mariachi,5.95,1.4,4.43,2.64,5.33,1.65,5.56,6.25
7453,marijuana,3.63,2.03,4.36,2.95,4.77,2.81,4.11,3.2
7454,marinara,5.95,1.7,3,2,6.59,1.76,6.36,5.25
7455,marine,5.95,2.24,3.44,1.46,5.14,2.4,6.8,5.67
7456,mariner,5.58,0.96,3.43,1.86,4.96,2.23,6.67,5.38
7457,marital,5.24,1.92,4.91,2.29,5.43,2.18,4.8,5.38
7458,maritime,4.9,1.61,3.36,2.08,5.26,1.85,5.11,4.75
7459,marker,5.8,1.64,4.05,2.54,5.48,2.24,5.75,5.81
7460,market,6.21,1.68,3.55,2.18,5.77,2.24,6.08,6.28
7461,marketing,4.83,1.85,4.75,2.33,5.09,2.56,4.56,5
7462,marketplace,6.25,1.52,4.32,2.08,5.81,2.02,6,6.36
7463,marksman,5.05,1.76,4.59,2.61,5.37,2.61,5.38,4.54
7464,marksmanship,5.19,1.83,4.96,2.33,6,1.95,3.8,5.62
7465,marmalade,5.95,1.22,3.95,2.65,5.15,2.28,6,5.94
7466,maroon,5.41,2.2,4.37,2.14,4.76,2.66,4.8,5.5
7467,marooned,4.26,1.88,5.9,1.89,3.3,2.05,4.4,4.31
7468,marquee,6,1.3,4.21,2.23,5.64,1.96,5.82,6.22
7469,marquis,4.77,1.69,3.77,2.16,4.6,2.09,5.62,4.29
7470,marriage,7.56,1.62,4.95,3.04,5.33,2.89,7,8
7471,marrow,4.29,2.02,3.65,2.06,4.12,1.74,5.75,3.85
7472,marry,7.09,2.2,5.52,2.96,5.67,2.33,6.17,7.67
7473,marshal,4.62,1.53,4.08,2.52,5.79,2.37,4.67,4.58
7474,marshmallow,6.84,2.09,4.7,2.42,5.58,2.14,6.56,7.1
7475,mart,5.32,1.34,3.55,2.09,5.24,1.95,5.11,5.5
7476,martial,5.4,1.64,4.23,2.31,4.59,2.42,6.14,5
7477,martini,6.14,2.1,5.9,2.4,5.33,2.4,6.75,5.77
7478,martyr,4.24,1.89,4.52,2.2,3.79,1.96,3.78,4.58
7479,marvel,5.84,2.36,4.77,2.39,5.21,1.47,4.17,6.62
7480,marvelous,7.21,1.72,3.77,2.86,6.21,1.81,7.17,7.23
7481,marzipan,5.4,1.27,3.91,2.69,5.23,2.58,5.29,5.46
7482,mascara,4.79,1.81,4.55,2.42,6.27,1.8,3.91,6
7483,mascot,5.5,1.25,4.11,2.4,5.65,2.18,5.7,5.25
7484,masculine,5.79,1.4,5.19,2.14,5.48,2.76,5,5.94
7485,masculinity,5.75,1.55,4.7,2.11,5.91,2.27,6.29,5.46
7486,mash,4.81,2.02,3.85,2.89,4.82,2.38,6.33,4.2
7487,mashed,4.61,1.46,4.15,2.74,4.24,1.64,4.4,4.69
7488,mask,4.81,1.5,3.26,2.4,5.1,2.22,5.12,4.62
7489,masked,5.14,1.68,4,2.7,5.1,2.61,6,4.62
7490,masochist,3.39,2.23,4.77,2.43,4.45,2.09,3.75,3.1
7491,masquerade,5.53,1.84,5.17,2.09,5.29,2.23,5.18,6
7492,mass,5.15,1.35,3.56,2.18,5.47,2.55,5.25,5.08
7493,massacre,1.77,1.57,6.68,2.49,3.33,2.45,1.93,1.62
7494,massage,7.16,1.64,3.88,2.59,6.57,2.22,6.62,7.55
7495,masses,4.41,1.94,4.11,2.91,4.54,2.13,4,4.6
7496,masseur,5.73,1.78,4.68,2.31,5.24,2.07,4.4,6.12
7497,masseuse,6.61,2.12,4.09,2.97,4.71,1.92,5.17,7.33
7498,massive,5.18,1.37,5.79,2.68,5.71,2.35,6,4.94
7499,mast,4.85,0.88,3.71,1.9,5.32,2.56,5.2,4.5
7500,master,5.72,1.99,4.4,3.15,4.17,2.83,5.38,6
7501,masterful,6.72,1.64,4.38,1.77,6.77,2.09,6.91,6.52
7502,mastermind,5.15,1.81,5.58,2.65,6.61,1.97,5.71,4.85
7503,masterpiece,7.14,1.85,4.7,2.4,6,2.47,6.4,7.38
7504,mastery,6.55,1.34,5.68,2.73,7.25,1.68,6.2,6.75
7505,masturbate,5.65,2.08,6.42,2.15,6.46,2.57,6.44,5.12
7506,masturbation,5.89,2.4,6.3,2.64,5.92,2.8,7.8,5.15
7507,mat,5,0.94,2.86,2.03,5.3,2.1,5.33,4.94
7508,matador,5,1.75,4.35,2.79,4.89,2.42,5.62,4.46
7509,match,5.61,0.85,3.05,2.27,6.06,2.01,5.75,5.5
7510,matchbook,5.05,1.69,3.65,2.69,6.22,2.13,5.67,4.58
7511,matching,6.3,1.45,3,1.91,5.79,2.28,5.5,6.83
7512,matchmaker,5.63,1.71,4,2.37,5.39,2.02,5.64,5.14
7513,mate,7.18,1.76,5.95,2.74,6.79,2.02,6.92,7.56
7514,material,5.71,1.52,3.74,2.54,5.48,2.04,5.91,5.54
7515,materialism,3.52,2.06,3.52,2.31,4.89,2.95,4.89,2.5
7516,materialistic,3.79,1.79,4.04,2.12,4.6,2.36,3.85,3.73
7517,materialize,5.75,1.45,3.95,1.94,6.55,2.22,6.1,5.4
7518,maternal,6.7,2.03,4.38,2.64,6.32,1.89,4.25,7.31
7519,maternity,5.76,2.07,4.83,2.89,4.81,2.44,5.8,5.75
7520,math,4.45,2.37,4.96,3.1,5.79,2.42,5.12,4
7521,mathematical,5.29,2,3.48,2.81,6,2.35,5.78,4.92
7522,mathematician,5.24,1.97,3.57,2.23,4.81,2.06,6,4.4
7523,mathematics,4.89,1.94,4.33,2.18,5.3,2.57,4.4,5.15
7524,matinee,6,1.94,3.05,1.96,5.3,2.39,5.67,6.06
7525,mating,5.76,2.28,6.35,2.23,5.67,2.35,4.2,6.25
7526,matrimony,7,2.1,5.77,2.6,6.32,2.77,6.62,7.23
7527,matrix,5.9,2.05,4.4,2.56,4.58,2.83,6,5.87
7528,matron,4.79,1.69,3.59,1.76,5.68,1.67,5,4.6
7529,matter,5.82,1.37,4.05,2.18,6.12,2.23,6.17,5.67
7530,mattress,5.74,2.42,3.45,2.22,6.17,1.9,5,6.08
7531,mature,5.95,2.03,3.48,2.09,7.05,1.59,5.79,6.25
7532,maturity,6.53,1.17,3.55,2.74,6.78,1.72,6.43,6.58
7533,maudlin,4.75,1.86,3.58,2.41,4.61,1.86,4.71,4.77
7534,mausoleum,4.5,1.36,3.87,2.49,4.62,2.82,4.67,4.36
7535,mauve,5.1,1.48,2.88,2.15,5.37,2.01,4.89,5.25
7536,maverick,6.63,1.77,4.55,2.56,5.25,2.53,6.5,6.69
7537,maxim,5.74,1.41,4.1,2.1,5.64,1.98,6,5.38
7538,maximize,6.2,1.74,4.74,2.63,5.9,2,6,6.27
7539,maximum,4.7,1.92,5.05,2.66,5.62,2.01,4.2,4.87
7540,may,5.55,2.06,3.19,1.86,5.94,2.25,4.17,6.07
7541,mayday,4.42,2.61,4.27,2.43,4.25,1.87,3.67,4.77
7542,mayflower,5.29,2.03,2.91,2.2,5.26,2.03,5.3,5.27
7543,mayhem,3.59,1.99,5.95,2.65,3.9,2.67,4,3.36
7544,mayonnaise,5.65,2.41,3.9,2.38,5.88,1.97,5.64,5.67
7545,mayor,4.59,1.5,4.15,2.41,6.21,2.44,4.38,4.89
7546,maze,5.84,1.61,4.83,1.95,4.56,2.13,5.91,5.75
7547,meadow,7.3,1.53,2.62,2.16,6.15,2.39,7.7,6.9
7548,meager,3.35,1.35,4.63,2.19,4.46,1.86,3.45,3.22
7549,meal,7.05,1.86,4.85,3,7.11,1.91,7,7.11
7550,mean,2.43,1.69,4.81,2.44,4.17,2.18,2.5,2.43
7551,meanie,3.17,2.04,4.85,2.28,4.48,1.73,2.2,3.54
7552,meaning,6.45,1.82,4.05,2.14,6.53,2.01,6.08,7
7553,meaningful,6.79,0.98,3.78,1.93,6.29,2.02,6.73,6.88
7554,meaningless,2.95,1.39,3.05,1.86,3.57,2.21,3.33,2.88
7555,meanness,3.09,1.69,5.19,2.77,5.09,2.79,3.21,2.88
7556,meantime,4.44,0.86,3.9,2.41,5.26,1.68,4.6,4.42
7557,measles,2.57,1.82,4.5,2.52,4.1,2.39,2.38,2.66
7558,measure,5.14,1.56,4.36,1.93,5.41,2.38,5.62,4.85
7559,measurement,5.11,1.56,3.09,2.14,5.18,2.4,5.09,4.86
7560,measuring cup,5.75,1.45,3.62,1.88,6.47,2.27,5.9,5.6
7561,measuring tape,5.43,1.63,2.15,1.5,6.86,2.1,4.67,5.73
7562,meat,6.62,1.77,4.3,2.11,5.58,2.95,6.31,7.12
7563,meatball,6.68,1.59,4.79,2.57,5.38,2.31,6,6.94
7564,meathead,3.38,1.6,4.22,2.24,3.81,2.34,3.8,3.25
7565,meatloaf,5.16,2.57,4.46,2.47,5.57,2.2,4.88,5.36
7566,mechanic,5.45,1.32,4.45,2.15,5.15,2.64,6,5.15
7567,mechanical,5.67,1.93,5.4,2.82,5,2.62,6.38,5.23
7568,mechanics,6,1.45,3.91,2.52,5.21,1.75,6.11,5.9
7569,mechanism,4.9,1.61,3.64,1.79,5.42,1.75,5.64,4.1
7570,med,5,1.9,3.52,2.5,5.64,1.84,5,5
7571,medal,5.2,1.61,5.3,2.45,5.88,1.8,5.18,5.22
7572,medallion,5.85,1.39,3.25,2.29,5.52,1.29,6.29,5.62
7573,meddle,3.86,1.13,4.35,2.13,4.78,2.76,3.89,3.85
7574,medial,4.65,0.75,3.55,1.57,4.96,1.73,4.55,4.78
7575,median,4.5,1.05,3.23,1.63,5.95,1.61,4.33,4.64
7576,mediation,5.5,1,2.85,1.87,5.77,2.35,5.29,5.62
7577,medic,5.2,1.61,3.55,2.15,5.46,2.28,6,4.77
7578,medical,5.22,2.05,4.05,2.8,4.22,1.52,5,5.4
7579,medicate,4.15,1.57,4.14,2.43,5.88,2.49,4,4.18
7580,medication,3.65,1.46,4.56,2.94,6.21,2.21,4.4,3.4
7581,medicinal,5.45,1.9,5.87,1.98,5.16,2.39,5.88,4.92
7582,medicine,5.9,2.39,4,1.99,5.35,2.3,6.17,5.56
7583,medieval,5.6,1.7,4.4,2.23,5.29,2.47,5.6,5.6
7584,mediocre,4.43,1.6,3,2.36,4.16,2.19,4.22,4.58
7585,mediocrity,3.71,2.69,3.55,1.99,3.67,1.98,6.2,2.94
7586,meditate,6.47,2.25,2.85,1.81,7.15,2.06,8,6.53
7587,meditation,7.21,1.78,2.5,1.99,7.35,2.11,8.67,7.2
7588,medium,4.85,1.35,3,2.06,5.22,1.48,4.4,5
7589,medley,6.6,1.73,4.48,2,5.95,1.8,5.89,7.18
7590,meek,4.92,1.99,3.14,1.88,5.05,2.32,5.07,4.84
7591,meet,6.09,1.54,3.71,2.12,5.89,1.91,6.17,6.07
7592,meeting,4.55,1.26,3.71,2.08,5.47,2.35,4.83,4.4
7593,mega,5.6,1.76,5.11,2.83,6.21,2.26,5.8,5.53
7594,melancholy,3.74,1.69,4.13,2.56,3.96,2.16,4.36,2.88
7595,mellow,6.68,1.81,2.81,2.4,7,2.16,6.43,7.12
7596,melodrama,4.25,1.68,4.83,2.6,4.58,2.59,4,4.42
7597,melodramatic,4.21,1.93,5.79,2.6,4.57,2.32,4,4.36
7598,melody,6.65,1.64,4.86,2.67,6.25,2.02,6.06,7.04
7599,melon,6.32,1.62,3.68,2.25,5.79,1.93,5.5,6.62
7600,melt,5.95,1.8,3,2.4,4.47,2.57,6.5,5.62
7601,meltdown,3.05,2.19,4.81,2.64,2.96,2.41,1.5,3.44
7602,member,5.95,1.89,3.47,2.17,6.89,1.85,5.77,6.22
7603,membership,5.61,1.88,4.45,2.36,5.5,2.26,6.12,5.33
7604,membrane,4.95,1.24,3.23,2.22,4.33,1.94,4.9,5
7605,memento,6.8,1.61,4.04,2.6,5.29,2.16,5.75,7.5
7606,memo,4.7,1.59,2.39,1.61,5.86,2.21,4.8,4.67
7607,memorabilia,6.55,1.47,3.77,2,6.05,2.28,6.75,6.43
7608,memorable,6.54,1.18,4.83,2.94,6.32,2.45,6.4,6.64
7609,memorandum,4.5,1.3,3.96,2.29,6.08,2.06,4.22,4.69
7610,memorial,5.72,2.27,3.25,2.2,5.24,1.85,6.4,5.46
7611,memories,7,1.66,4.19,2.94,6.11,1.91,6.69,7.21
7612,memorize,5.7,1.45,3.9,2.14,5.65,2.48,6,5.4
7613,memory,6.58,2.14,4.08,2.25,5.75,2.34,5.67,7
7614,menace,3.13,1.67,4.89,2.83,4.4,2.53,3.54,2.92
7615,menacing,3.14,1.2,4.76,2.62,4.15,1.96,3.4,2.91
7616,mend,6.53,1.31,3.76,1.95,5.83,1.67,6.2,6.77
7617,menial,3.8,1.54,3.85,2.25,5.32,1.8,3.36,4.33
7618,meningitis,2.55,1.43,5.41,2.38,3.43,2.36,2.56,2.55
7619,menopause,1.89,1.02,3.55,2.24,4.32,2.81,1,2
7620,menstrual,2.79,2.04,4.3,2.38,3.37,1.83,3.33,2.3
7621,mental,4.58,1.68,3.68,2.21,5.48,1.86,4.88,4.36
7622,mentality,4.76,1.34,4.62,2.04,6.24,2.13,5,4.44
7623,menthol,4.9,1.74,2.9,1.8,5.45,1.87,5.29,4.69
7624,mention,5.39,1.5,2.65,1.6,5.33,1.68,4.62,6
7625,mentor,7.05,1.81,3.5,1.79,6.6,2.04,6.86,7.13
7626,menu,6.3,1.34,4.17,2.42,6.29,2.15,5.78,6.73
7627,meow,6.14,1.9,3.42,3.05,5.75,2.02,5.5,6.54
7628,mercenary,3.89,2.21,5.14,3.04,4.29,2.35,4,3.85
7629,merchandise,5.21,1.32,3.78,2.34,4.76,2.41,5.82,4.38
7630,merchant,5.21,1.36,3.68,2.08,5.18,2.04,5.11,5.3
7631,merciful,7,2,4.22,2.13,6.75,1.94,6,7.31
7632,merciless,3.05,2.36,5.05,2.63,5.05,2.75,3.4,3.06
7633,mercury,5.67,1.85,4.8,2.69,3.96,1.86,6,5.54
7634,mercy,6.4,2.16,3.67,2.45,5.55,2.3,7.2,6.13
7635,mere,4.68,1.49,3.71,2.12,5.21,1.32,5.5,4.31
7636,merengue,6.47,2.17,3.45,2.52,5.13,2.16,6.27,6.43
7637,merge,4.95,1.27,3.5,1.98,5.53,1.77,5,4.88
7638,merger,4.09,1.19,4.22,2.35,4.63,2.54,4.25,4.23
7639,meringue,6.57,1.8,4.04,2.67,5.16,2.14,5.89,7.08
7640,merit,6.94,1.55,3.16,2.83,5.88,2.01,7.2,6.85
7641,mermaid,7.05,1.43,5.58,2.14,4.33,2.13,7,7.13
7642,merry,7.2,2.11,4.57,2.62,7.1,1.79,6.86,7.48
7643,mescaline,5,1.97,4.65,3.1,4.6,2.09,3.33,5.21
7644,mesh,5.25,1.48,3.11,1.88,5.18,1.82,5.6,5.13
7645,mess,3.5,1.29,4.7,2.43,2.89,1.84,3.5,3.5
7646,message,6.18,1.87,3.81,2.62,6.78,2.21,6.33,6.13
7647,messenger,5.65,1.31,4.57,2.23,5.65,2.13,5.8,5.5
7648,messiah,6.67,2.47,3.75,2.65,3.71,1.97,7.4,6.38
7649,messy,3,1.61,4.61,2.3,4.83,2.55,4.67,2.67
7650,metabolic,5.11,1.45,4.67,1.98,5,1.65,5.4,5
7651,metabolism,5.4,2.21,4.17,2.26,4.36,2.3,5.2,5.47
7652,metal,5.05,1.34,3.48,2.09,6.54,1.98,5.5,4.7
7653,metallic,5.26,1.45,4.32,2.33,5.17,1.99,5.46,4.83
7654,metamorphosis,5.25,1.62,4.27,2.45,5.11,2.81,5,5.45
7655,metaphor,6.11,1.2,4.14,2.48,5.36,2.18,5,6.31
7656,metaphysical,5.48,1.78,4,2.76,5.37,2.2,5.1,5.82
7657,meteor,5.1,1.58,5.62,2.2,3.92,2.78,5.42,4.67
7658,meteorite,7.25,1.52,6.37,2.59,3.49,2.45,7.88,6.83
7659,meter,5.53,1.5,3.25,2.45,5.25,1.92,5.77,5
7660,meth,2.55,1.82,4.43,3.09,3.12,2.57,1.75,2.75
7661,methadone,3.05,1.22,3.76,2.86,4.48,2.65,4,2.88
7662,methane,3.48,1.72,3.73,2.27,4.37,2.15,4.3,2.73
7663,method,5.2,1.32,4.17,2.55,6.13,2.24,5.5,5
7664,methodical,5.11,1.97,3.76,2.3,5.43,1.85,4.83,5.23
7665,methodology,4.84,2.12,3.41,2.38,5.48,2.24,4.67,4.92
7666,meticulous,5.14,1.68,4.8,2.29,5.36,2.17,5.38,5
7667,metric,4.95,1.43,3.67,2.15,5.13,1.36,4.6,5.23
7668,metropolis,4.95,1.96,4.95,2.48,5.6,2.4,5.33,4.88
7669,metropolitan,5.84,1.89,4.91,2.23,5.42,2.29,5.78,5.9
7670,mew,6.05,2.19,4.62,2.42,5.56,1.92,5.22,6.73
7671,mezzanine,5.32,1.63,3.77,2.37,5.11,1.91,5.11,5.5
7672,micro,5.5,1.15,3.48,2.27,4.36,2.41,5.88,5.25
7673,microchip,5.6,1.73,3.52,2.34,5.24,2.3,6.75,5.31
7674,microfilm,5.53,1.58,3.5,2.42,5.33,2.3,5.62,5.33
7675,microphone,5.11,1.49,4.19,2.48,5.35,2.64,4.67,5.19
7676,microscope,6.33,1.37,4,2.56,5.05,2.09,5.89,6.78
7677,microscopic,5.24,1.73,3.86,2.46,5.33,2.06,5.4,5.19
