language_no	language_ru	language	language_external	expert_ru	consultant_ru	expert	consultant	data_collection_year	initial_release_date	last_release_date	macroarea	family (WALS)	genus (WALS)	latitude	longitude	number_nominal_cases	source_of_information	contact_language	glottocode	comment_on_glottocode	WO_WALS	WO_comment
107	сванский	Svan	Svan	Александр Александрович Ростовцев-Попель		Alexander Rostovtsev-Popiel		2023	October 13, 2023	January 17, 2024	West Asia and the Caucasus	Kartvelian	Kartvelian	42.91	42.59	7	glottolog; Rostovtsev-Popiel, p.c.	Georgian	svan1243		SOV	Extrapolation
108	рутульский (южный)	Rutul_Southern	Southern Rutul	Жиль Отье	Айдин Пашаев	Gilles Authier	Aydin Pashayev	2023	October 13, 2023	June 6, 2024	West Asia and the Caucasus	Nakh-Daghestanian	Lezgic	41.37	47.11	15	google maps; Gilles Authier (p.c.)	Russian	borc1243		SOV	
109	даргинский (цугнинский)	Dargwa_Tsugni	Tsugni Dargwa	Гасик Сулайбанов	Р. Сулайбанов, К. Сулайбанова	Gasangusen Sulaibanov	R. Sulaibanov, K. Sulaibanova	2023	November 2, 2023	January 29, 2024	West Asia and the Caucasus	Nakh-Daghestanian	Dargwic	42.11	47.4	34	Sulaibanov, p.c.; own calculations based on Sulaibanov, p.c.	Russian	sout3261	This code  is that of Southwestern Dargwa	SOV	
110	рутульский (мухадский)	Rutul_Mukhad	Mukhad Rutul	Жиль Отье, Мариза Оглановна Ибрагимова		Gilles Authier, Mariza Ibragimova		2023	November 2, 2023	June 6, 2024	West Asia and the Caucasus	Nakh-Daghestanian	Lezgic	41.53	47.42	17	google maps (Rutul); Gilles Authier (p.c.)	Russian	rutu1240	This code is that of Rutul (same as Kina Rutul)	SOV	
111	арчинский	Archi	Archi	Михаил Александрович Даниэль		Michael Daniel		2023	November 20, 2023	December 3, 2023	West Asia and the Caucasus	Nakh-Daghestanian	Lezgic	42.06	46.87	38	wikipedia (Archib), Daniel (p.c.)	Russian	arch1244		SOV	
112	мано	Mano	Mano	Мария Леонидовна Хачатурьян	Пе Мами	Maria Khachaturyan	Pé Mamy	2023	November 27, 2023	December 25, 2023	Sub-Saharan Africa	Mande	Eastern Mande	7.7	-8.74	1	glottolog (but Masha suggested Nzerekore), Khachaturyan (p.c.)	French, English	mann1248		SOV	
113	крызский (алыкский)	Kryz_Alik	Alik Kryz	Жиль Отье	Рахман Шамседдинов	Gilles Authier	Rahman Shamseddinov	2023	November 27, 2023	June 6, 2024	West Asia and the Caucasus	Nakh-Daghestanian	Lezgic	41.18	48.24	23	Alik (wikipedia), Authier p.c.	French, Azerbaijani	kryt1240		SOV	
114	туройо	Turoyo	Turoyo	Никита Сергеевич Кузин		Nikita Kuzin		2023	December 12, 2023	June 6, 2024	West Asia and the Caucasus	Afro-Asiatic	Semitic	37.34	41.75	1	Öğündük (Midin), Kuzin p.c. + Wikipedia; Kuzin	German	turo1239		SVO	Kuzin, p.c.
115	ахвахский (северный)	Akhvakh_Northern	Northern Akhvakh	Жиль Отье, Индира Ахмедовна Абдулаева		Gilles Authier, Indira Abdulaeva		2023	December 15, 2023	June 17, 2024	West Asia and the Caucasus	Nakh-Daghestanian	Avar-Andic-Tsezic	42.4	46.3	42	Glottolog; Authier, p.c.	Russian	akhv1239		SOV	Extrapolation
116	кхой-кхой	Khoekhoe	Khoekhoe	Алена Вицлак-Макаревич	Доротеа Тасес, Росвита Гасес	Alena Witzlack-Makarevich, Sylvanus Job	Dorothea Tases, Roswitha Gases	2023	January 23, 2024	January 23, 2024	Sub-Saharan Africa	Khoe-Kwadi	Khoe-Kwadi	-22.57	17.08	2	Witzlack-Makarevich (p.c.), Windhoek	English	nama1264	This code is that of Nama	SOV	Nama
117	рутульский (шиназский)	Rutul_Shinaz	Shinaz Rutul	Жиль Отье	Рамазан Атрашович Рамазанов	Gilles Authier	Ramazan Ramazanov	2023	January 9, 2024	June 6, 2024	West Asia and the Caucasus	Nakh-Daghestanian	Lezgic	41.62	47.38	15	google maps (Shinaz); Gilles Authier (p.c.)	Russian	shin1265	This code is that of "Shina (Nakh-Daghestan)" < Rutul	SOV	
118	даргинский (кайтагский)	Dargwa_Kaytag	Kaytag Dargwa	Жиль Отье, Узлипат Усмановна Гасанова		Gilles Authier, Uzlipat Gasanova		2023	January 16, 2024	January 16, 2024	West Asia and the Caucasus	Nakh-Daghestanian	Dargwic	42.05	47.79	37	yandex maps (Shilyagi); approximation based on Uzlipat's info: 5 grammatical cases + 24-40 locative cases (I took 32 as the mean)	Russian	kajt1238	This code belongs to "Kajtak"	SOV	
