language,genus,fam,phonemes,con,son,obs,vow,monoph,qua,ton,population
mhk,Bantoid,ncon,33,21,7,14,9,9,9,3,50100
mhr,Mari,urlc,27,19,8,11,8,8,8,0,451000
mhz,South Halmahera - West New Guinea,anes,19,14,10,4,5,5,5,0,700
mif,Biu-Mandara,afas,44,35,13,22,7,7,5,2,60000
mig,Mixtecan,otma,32,19,6,13,10,10,5,3,14500
mjg,Mongolic,altc,28,23,10,13,5,5,5,0,152000
mkd,Slavic,ieur,32,26,7,19,6,6,6,0,1390000
mky,South Halmahera - West New Guinea,anes,37,32,12,20,5,5,5,0,20000
mla,Oceanic,anes,21,16,10,6,5,5,5,0,4000
mlf,,ausa,41,17,8,9,22,18,9,2,23200
mlq,Western Mande,ncon,27,20,8,12,7,7,7,0,422000
mlt,Semitic,afas,55,45,12,33,10,10,5,0,300000
mlv,Oceanic,anes,22,15,7,8,7,7,7,0,2200
mnb,Sulawesi,anes,33,28,14,14,5,5,5,0,300000
mnc,Tungusic,altc,25,18,6,12,7,7,7,0,60
mnf,Bantoid,ncon,41,23,8,15,14,14,8,4,34000
mnh,,ncon,44,33,13,20,8,8,8,3,65000
mni,Kuki-Chin,sitb,33,25,8,17,6,6,6,2,1370000
mnk,Western Mande,ncon,34,19,8,11,10,10,5,5,669000
moa,,ncon,39,21,4,17,12,12,7,6,17000
moc,Guaicuruan,mgua,31,23,8,15,8,8,4,0,4530
mor,Heiban,ncon,29,22,9,13,7,7,7,0,30000
mos,Gur,ncon,43,17,6,11,24,24,8,2,5000000
mpb,Northern Daly,aust,19,14,10,4,5,5,5,0,9
mph,Iwaidjan,aust,24,19,12,7,5,5,5,0,240
mps,Teberan,trng,23,13,5,8,10,10,5,0,10000
mpt,Ok,trng,25,13,5,8,8,4,4,4,1400
mqs,North Halmaheran,wpap,23,17,7,10,6,6,6,0,12000
mri,Oceanic,anes,20,10,5,5,10,10,5,0,60000
mrq,Oceanic,anes,22,12,3,9,10,10,5,0,3400
mrt,Biu-Mandara,afas,44,36,9,27,6,6,6,2,158000
mrw,Southern Philippines,anes,17,13,5,8,4,4,4,0,776000
mtb,,ncon,37,21,7,14,16,16,10,0,300000
mto,Mixe-Zoque,mizo,23,14,3,11,9,9,9,0,5200
muh,Ubangi,ncon,41,29,12,17,9,9,9,3,23000
muo,,ncon,42,23,10,13,14,14,8,5,30000
mur,Surmic,nsah,26,21,11,10,5,5,5,0,60000
mva,Oceanic,anes,18,13,5,8,5,5,5,0,7950
mwf,Murrinh-Patha,aust,25,21,11,10,4,4,4,0,1430
mwk,,ncon,33,19,7,12,14,14,7,0,600000
mwp,Pama-Nyungan,aust,24,18,8,10,6,6,6,0,930
mwt,,anes,32,22,7,15,10,10,6,0,7000
mxu,Biu-Mandara,afas,40,22,7,15,13,13,8,5,17000
mya,Burmese-Lolo,sitb,50,34,13,21,13,11,8,3,32000000
myk,,ncon,50,29,11,18,19,19,7,2,738000
myp,Mura,mura,11,8,2,6,3,3,3,0,360
myu,Munduruku,tupi,39,17,6,11,20,20,10,2,10100
mzk,Bantoid,ncon,43,25,13,12,16,16,8,2,99000
mzm,Adamawa,ncon,34,23,7,16,11,11,6,0,400000
mzn,Iranian,ieur,29,22,5,17,7,7,7,0,3270000
mzp,Movima,_mzp,23,18,6,12,5,5,5,0,1450
mzw,,ncon,52,22,8,14,30,30,10,0,26400
nab,Nambikuaran,namb,43,25,10,15,18,18,10,0,1150
nam,Southern Daly,aust,28,20,10,10,8,8,4,0,220
nan,Chinese,sitb,25,19,10,9,6,6,6,0,25700000
naq,Central Khoisan,khoi,33,19,4,15,8,8,5,6,200000
nas,East Bougainville,epap,18,8,3,5,10,10,5,0,20000
nav,Athapaskan,nadn,54,36,8,28,16,16,4,2,149000
nbf,Naxi,sitb,49,38,10,28,11,11,11,0,309000
nbj,Pama-Nyungan,aust,23,17,12,5,6,6,3,0,170
ncg,Tsimshianic,penu,42,32,16,16,10,10,5,0,920
ncj,Aztecan,utaz,20,16,4,12,4,4,4,0,60000
ncl,Aztecan,utaz,25,20,7,13,5,5,5,0,3000
ncu,Kwa,ncon,30,21,8,13,9,9,9,0,69000
ndb,,ncon,65,55,25,30,10,10,10,0,25000
ndi,Adamawa,ncon,34,22,7,15,9,9,9,3,62000
nds,Germanic,ieur,37,23,6,17,14,10,6,0,1000
ndv,Northern Atlantic,ncon,34,27,16,11,7,7,7,0,38600
neb,,ncon,50,19,4,15,27,27,9,4,38500
nep,Indic,ieur,39,27,5,22,12,12,6,0,11100000
new,Bodic,sitb,32,24,15,9,8,8,4,0,825000
nez,Sahaptian,penu,36,26,10,16,10,10,5,0,200
nfr,Gur,ncon,44,25,9,16,19,19,7,0,61000
nga,Ubangi,ncon,34,22,7,15,12,12,7,0,1010000
ngb,Ubangi,ncon,31,19,6,13,12,12,7,0,250000
nge,Bantoid,ncon,40,29,10,19,9,9,9,2,18800
ngi,West Chadic,afas,40,34,12,22,6,6,3,0,80000
nhb,Eastern Mande,ncon,49,24,9,15,19,19,7,6,17000
nhu,Bantoid,ncon,33,19,11,8,14,14,7,0,25000
nie,Adamawa,ncon,36,23,10,13,13,13,7,0,5160
nio,Samoyedic,urlc,29,20,11,9,9,9,9,0,500
nir,Nimboran,trng,18,12,4,8,6,6,6,0,2000
niv,Nivkh,_niv,44,35,11,24,9,9,5,0,690
niz,Wapei-Palei,torr,21,14,7,7,7,7,7,0,950
njo,Kuki-Chin,sitb,20,14,6,8,6,6,6,0,232000
nla,,ncon,59,37,9,28,19,19,9,3,45000
nld,Germanic,ieur,39,24,9,15,15,12,7,0,16400000
nmg,Bantoid,ncon,54,46,10,36,8,8,8,0,9000
nml,,ncon,53,30,14,16,18,18,9,5,5950
nmm,Bodic,sitb,45,30,9,21,10,10,6,5,3740
nmu,Maiduan,penu,24,18,5,13,6,6,6,0,2
nmz,,ncon,35,21,8,13,14,14,7,0,146000
nna,Pama-Nyungan,aust,27,20,13,7,7,7,3,0,260
nnh,,ncon,28,17,6,11,7,7,7,4,250000
nnk,Finisterre-Huon,trng,20,14,5,9,6,6,6,0,2500
nnm,Yellow River,sepr,15,9,6,3,6,6,6,0,6000
nob,Germanic,ieur,48,27,13,14,19,19,10,2,4640000
