language,genus,fam,phonemes,con,son,obs,vow,monoph,qua,ton,population
ted,,ncon,39,17,4,13,18,18,9,4,28300
tee,Totonacan,toto,36,26,7,19,10,10,5,0,3000
teh,Chon Proper,chon,35,28,7,21,7,7,7,0,4
tel,South-Central Dravidian,drav,68,47,12,35,21,21,10,0,69600000
tem,Southern Atlantic,ncon,25,17,6,11,8,8,8,0,1230000
teq,Temein,nsah,25,18,8,10,7,7,7,0,13000
tet,Central Malayo-Polynesian,anes,19,14,8,6,5,5,5,0,400000
tew,Kiowa-Tanoan,kita,57,34,7,27,19,19,6,4,1300
tfi,,ncon,41,23,6,17,14,14,7,4,66000
tft,North Halmaheran,wpap,25,20,8,12,5,5,5,0,42000
tgc,Oceanic,anes,17,12,4,8,5,5,5,0,6000
tgl,Meso-Philippine,anes,28,18,7,11,10,10,5,0,21500000
tgw,,ncon,45,23,8,15,22,22,6,0,138000
tha,Kam-Tai,taik,45,21,7,14,18,18,9,6,20200000
thm,,ausa,47,20,7,13,23,20,10,4,750
thv,Berber,afas,37,25,7,18,12,12,7,0,25000
tig,Semitic,afas,54,47,11,36,7,7,2,0,1050000
tik,Bantoid,ncon,46,27,7,20,14,14,8,5,25000
tiw,Tiwian,aust,18,14,9,5,4,4,4,0,1830
tix,Kiowa-Tanoan,kita,41,26,6,20,12,12,6,3,1630
tiy,South Mindanao,anes,22,16,7,9,6,6,6,0,50000
tlf,Ok,trng,27,17,6,11,8,8,3,2,5400
tli,Tlingit,nadn,48,43,16,27,5,5,5,0,1200
tlo,Talodi Proper,ncon,21,14,8,6,7,7,7,0,1500
tma,Taman,nsah,30,21,9,12,9,9,9,0,62900
tml,Asmat-Kamoro,trng,19,14,4,10,5,5,5,0,290
tna,Tacanan,taca,22,18,5,13,4,4,4,0,1820
tnl,Oceanic,anes,21,15,8,7,6,6,6,0,11500
tob,Guaicuruan,mgua,28,21,8,13,7,7,4,0,19800
tol,,nadn,31,26,5,21,5,5,5,0,4
ton,Oceanic,anes,17,12,4,8,5,5,5,0,96300
top,Totonacan,toto,26,20,5,15,6,6,3,0,80000
toq,,nsah,27,17,8,9,9,9,9,1,100000
tow,Kiowa-Tanoan,kita,61,39,11,28,22,22,6,0,1300
tpm,Gur,ncon,33,24,9,15,9,9,9,0,16000
tpt,Totonacan,toto,34,24,8,16,10,10,5,0,3000
tpx,Subtiaba-Tlapanec,subt,30,20,6,14,10,10,5,0,54000
tpy,Trumai,_tpy,24,18,6,12,6,6,6,0,100
tpz,,anes,26,12,5,7,14,13,7,0,3900
tqo,Eleman Proper,trng,14,8,4,4,6,6,6,0,23000
trg,Semitic,afas,40,24,5,19,16,16,10,0,4230
trv,Atayalic,anes,43,33,11,22,10,10,10,0,20000
trw,Indic,ieur,51,38,8,30,13,13,7,0,60000
tsi,Tsimshianic,penu,41,38,12,26,3,3,3,0,750
tsj,Bodic,sitb,37,32,8,24,5,5,5,0,157000
tsp,Gur,ncon,35,16,6,10,14,14,7,5,19500
tsu,Tsouic,anes,21,15,5,10,6,6,6,0,2130
tsz,Tarascan,tara,32,26,7,19,6,6,6,0,40000
ttl,,ncon,54,44,14,30,10,10,5,0,14000
ttq,,afas,37,23,7,16,14,14,7,0,450000
ttr,Biu-Mandara,afas,48,42,13,29,6,6,6,0,101000
tuq,Western Saharan,nsah,35,24,8,16,11,11,11,0,28500
tur,Turkic,altc,40,24,6,18,16,16,8,0,46300000
tvd,,ncon,52,38,9,29,12,12,6,2,150000
twf,Kiowa-Tanoan,kita,38,26,12,14,12,12,6,0,930
txx,Northwest Malayo-Polynesian,anes,21,17,8,9,4,4,4,0,5500
tyv,Turkic,altc,37,21,7,14,16,16,8,0,235000
tzh,Mayan,maya,30,25,7,18,5,5,5,0,90000
tzj,Mayan,maya,35,25,6,19,10,10,5,0,50000
tzo,,maya,26,21,5,16,5,5,5,0,264230
ukr,Slavic,ieur,30,24,6,18,6,6,6,0,31100000
ulw,,misu,28,22,14,8,6,6,3,0,6700
ung,Wororan,aust,24,18,13,5,6,6,6,0,82
unr,Munda,ausa,37,32,14,18,5,5,5,0,1550000
usa,Eastern Highlands,trng,22,17,13,4,5,5,5,0,1300
ute,Numic,utaz,37,19,5,14,18,18,9,0,1980
uvh,,trng,24,16,6,10,8,8,6,0,2500
uzn,Turkic,altc,30,24,6,18,6,6,6,0,16500000
vag,Gur,ncon,54,24,9,15,30,30,10,0,13500
vai,Western Mande,ncon,33,22,6,16,11,11,7,0,104000
vam,Western Skou,skoo,28,12,4,8,16,16,8,0,2670
var,Tarahumaran,utaz,26,12,5,7,14,5,5,0,2840
vie,Viet-Muong,ausa,39,21,7,14,12,12,11,6,65800000
vut,,ncon,59,30,14,16,24,24,8,5,20000
wan,Eastern Mande,ncon,36,21,4,17,12,12,7,3,22000
wap,Arawakan,arwk,29,17,4,13,12,12,4,0,6000
was,Washo,hoka,32,26,11,15,6,6,6,0,10
way,Cariban,cari,16,9,5,4,7,7,7,0,400
wba,Warao,_wba,21,11,4,7,10,10,5,0,28100
wbm,,ausa,49,27,14,13,22,9,9,0,40000
wgi,Chimbu,trng,23,17,10,7,6,6,6,0,39000
wic,Caddoan,cadd,29,21,6,15,8,8,4,0,1
wim,Pama-Nyungan,aust,23,13,8,5,10,10,5,0,840
wit,Wintuan,penu,35,30,5,25,5,5,5,0,5
wms,Awju-Dumut,trng,26,16,8,8,10,5,5,0,3000
wnc,Finisterre-Huon,trng,21,14,11,3,7,7,7,0,8200
wnu,Madang,trng,20,14,7,7,6,6,6,0,1400
wob,Kru,ncon,48,15,3,12,27,27,9,6,156000
woc,,anes,20,15,7,8,5,5,5,0,1620
woi,Greater Alor,trng,28,16,10,6,12,12,12,0,16500
wol,Northern Atlantic,ncon,40,26,11,15,14,14,7,0,3930000
wos,Middle Sepik,sepr,23,16,7,9,7,7,7,0,7200
wrs,Border,trng,22,13,9,4,9,9,9,0,2500
wti,Berta,nsah,29,24,14,10,5,5,5,0,125000
wtm,,ieur,50,30,9,21,20,20,10,0,5000000
wuu,Chinese,sitb,41,29,9,20,9,9,6,3,77200000
wwa,Gur,ncon,41,13,4,9,25,25,7,3,50000
wya,Northern Iroquoian,iroq,17,11,4,7,6,6,4,0,24
wyb,Pama-Nyungan,aust,18,15,10,5,3,3,3,0,12
xaw,Numic,utaz,31,25,12,13,6,6,6,0,5
xmf,Kartvelian,kart,35,30,5,25,5,5,5,0,500000
xmt,,anes,20,15,6,9,5,5,5,0,1250
xom,Koman,nsah,31,23,7,16,8,8,8,0,10000
xon,Gur,ncon,42,22,9,13,12,12,6,8,500000
